Name,State,Year,Area (km²),Summary,mountain,forest,river,glacier,rock,plain,moor,sand,plateau,lake,lagoon,rubble,island,village,viticolture,sea,water
Teutoburg Forest / Egge Hills,North Rhine-Westphalia,1965,2711,The park includes the mountain ranges of the southern Teutoburg Forest and Egge Hills. The landscape is characterized by a rich and varied low mountainous landscape and densely forested.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Thuringian Highlands/Upper Saale,Thuringia,1990,873,"The park is characterized by deeply incised valleys, above all the Saale, which winds through its valleys among the mountain ridges. The undulating plateaus are partly covered with dense spruce forests.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Thuringian Forest,Thuringia,1990,2082,The Nature Park compices almost the entire Thuringian Forest and the Thuringian Highland. The region is mostly forested and characterized by deeply incised valleys. The Rennsteig wends its walkway along the crest.,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Uckermark,Brandenburg,1997,897,"The landscape of the park was shaped in the ice age; it is more than half forested. Terminal moraine hills and lakes alternate in a small area. Apart from rubble, the ice of the Wolstonian stage left sandur plain with many moors and small elongated lakes in glacial valleys.",True,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True
Upper Bavarian Forest,Bavaria,1965,1738,The park includes the northwestern Bavarian Forest and extends from the crest line to the Falkensteiner Vorwald. The landscape is characterized by wide and gently rolling mountain ridges with their valleys and villages.,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Upper Danube,Baden-Württemberg,1980,857,The park includes the highest areas of the Swabian Jura between Lake Constance and the Black Forest. The Jura plateau is covered by extensive woodland and descends gently to the south. The region's thick limestone layers are cut by the deeply incised Danube.,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
Upper Palatinate Forest,Bavaria,1971,724,The park is nearly half forested and characterized by a vast undulating to hilly landscape with many small rivers and brooks. Essentially it includes the Upper and Lower Upper Palatinate Forest.,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Usedom,Mecklenburg-Vorpommern,1999,632,"The park includes the island of Usedom, the water between Usedom and the mainland, and a small strip of mainland. Roughly 30 percent of the region is forested. The park has a great variety of landscaoe forms in a small area.",False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Weser Uplands-Schaumburg-Hamelin,Lower Saxony,1975,1116,"The park lies in the transition area from the low mountains to the North German plain and is divided by the river Weser. A gentle slope, covered by large, contiguous forests, alternate with small valleys.",True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Westensee,Schleswig-Holstein,1969,260,"The park includes domelike hills as well as the Westensee, which dates from the end of the last glacial period and is crossed by the river Eider. The landscape is characterized by gentle hills and valleys, forests, lakes and moors.",True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
Westhavelland,Brandenburg,1998,1315,The park includes the largest contiguous wetland in inland Europe and is of international significance. Large portions of the region consist of inland dunes and sandur plains. The region is crossed by the river Havel and its tributaries.,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True
